Title,Authors,Publisher,Published Date,Description,ISBN-13
The Star-Touched Queen,Roshani Chokshi,St. Martin's Griffin,2016-04-26,"A lush and vivid story steeped in Indian folklore and mythology, Roshani Chokshi's The Star-touched Queen is a novel that no reader will soon forget. An instant New York Times bestseller! Fate and fortune. Power and passion. What does it take to be the queen of a kingdom when you're only seventeen? Maya is cursed. With a horoscope that promises a marriage of Death and Destruction, she has earned only the scorn and fear of her father's kingdom. Content to follow more scholarly pursuits, her whole world is torn apart when her father, the Raja, arranges a wedding of political convenience to quell outside rebellions. Soon Maya becomes the queen of Akaran and wife of Amar. Neither roles are what she expected: As Akaran's queen, she finds her voice and power. As Amar's wife, she finds something else entirely: Compassion. Protection. Desire... But Akaran has its own secrets -- thousands of locked doors, gardens of glass, and a tree that bears memories instead of fruit. Soon, Maya suspects her life is in danger. Yet who, besides her husband, can she trust? With the fate of the human and Otherworldly realms hanging in the balance, Maya must unravel an ancient mystery that spans reincarnated lives to save those she loves the most... including herself.",9781250085481.0
The Songs of the Gods,Dimitrios Spyridon Chytiris,Lulu.com,N/A,N/A,9781304588333.0
The Song of Achilles,Madeline Miller,A&C Black,2012-04-12,"WINNER OF THE ORANGE PRIZE FOR FICTION 2012 Greece in the age of heroes. Patroclus, an awkward young prince, has been exiled to the court of King Peleus and his perfect son Achilles. Despite their differences, Achilles befriends the shamed prince, and as they grow into young men skilled in the arts of war and medicine, their bond blossoms into something deeper - despite the displeasure of Achilles's mother Thetis, a cruel sea goddess. But when word comes that Helen of Sparta has been kidnapped, Achilles must go to war in distant Troy and fulfill his destiny. Torn between love and fear for his friend, Patroclus goes with him, little knowing that the years that follow will test everything they hold dear.",9781408826133.0
The Rosie Project (Don Tillman #1),Graeme Simsion,Simon and Schuster,2021-03-30,"Don Tillman, professor of genetics, has never been on a second date. He is a man who can count all his friends on the fingers of one hand, whose lifelong difficulty with social rituals has convinced him that he is simply not wired for romance. So when an acquaintance informs him that he would make a ""wonderful"" husband, his first reaction is shock. Yet he must concede to the statistical probability that there is someone for everyone, and he embarks upon The Wife Project. In the orderly, evidence-based manner with which he approaches all things, Don sets out to find the perfect partner. He sets up a project designed to find him the perfect wife, starting with a questionnaire that has to be adjusted a little as he goes along. She will be punctual and logical, most definitely not a barmaid, a smoker, a drinker, or a late-arriver. Then he meets Rosie Jarman, who is everything he's not looking for in a wife. Rosie is all these things. She is also beguiling, fiery, intelligent, and on a quest of her own. She is looking for her biological father, a search that a certain DNA expert might be able to help her with. Don's Wife Project takes a back burner to the Father Project and an unlikely relationship blooms, forcing the scientifically minded geneticist to confront the spontaneous whirlwind that is Rosie, and the realization that love is not always what looks good on paper",9781982172930.0
The Power of Habit: Why We Do What We Do in Life and Business,Elite Summaries,Elite Summaries,N/A,Detailed summary and analysis of The Power of Habit.,N/A
The Marriage of Opposites,Alice Hoffman,Simon and Schuster,2015-08-04,"“A luminous, Marquez-esque tale” (O, The Oprah Magazine) from the New York Times bestselling author of The Museum of Extraordinary Things: a forbidden love story set on a tropical island about the extraordinary woman who gave birth to painter Camille Pissarro—the Father of Impressionism. Growing up on idyllic St. Thomas in the early 1800s, Rachel dreams of life in faraway Paris. Rachel’s mother, a pillar of their small refugee community of Jews who escaped the Inquisition, has never forgiven her daughter for being a difficult girl who refuses to live by the rules. Growing up, Rachel’s salvation is their maid Adelle’s belief in her strengths, and her deep, life-long friendship with Jestine, Adelle’s daughter. But Rachel’s life is not her own. She is married off to a widower with three children to save her father’s business. When her older husband dies suddenly and his handsome, much younger nephew, Frédérick, arrives from France to settle the estate, Rachel seizes her own life story, beginning a defiant, passionate love affair that sparks a scandal that affects all of her family, including her favorite son, who will become one of the greatest artists of France. “A work of art” (Dallas Morning News), The Marriage of Opposites showcases the beloved, bestselling Alice Hoffman at the height of her considerable powers. “Her lush, seductive prose, and heart-pounding subject…make this latest skinny-dip in enchanted realism…the Platonic ideal of the beach read” (Slate.com). Once forgotten to history, the marriage of Rachel and Frédérick “will only renew your commitment to Hoffman’s astonishing storytelling” (USA TODAY).",9781451693614.0
The Lucifer Effect: Understanding How Good People Turn Evil,Philip Zimbardo,Random House Trade Paperbacks,2008-01-22,"The definitive firsthand account of the groundbreaking research of Philip Zimbardo—the basis for the award-winning film The Stanford Prison Experiment Renowned social psychologist and creator of the Stanford Prison Experiment Philip Zimbardo explores the mechanisms that make good people do bad things, how moral people can be seduced into acting immorally, and what this says about the line separating good from evil. The Lucifer Effect explains how—and the myriad reasons why—we are all susceptible to the lure of “the dark side.” Drawing on examples from history as well as his own trailblazing research, Zimbardo details how situational forces and group dynamics can work in concert to make monsters out of decent men and women. Here, for the first time and in detail, Zimbardo tells the full story of the Stanford Prison Experiment, the landmark study in which a group of college-student volunteers was randomly divided into “guards” and “inmates” and then placed in a mock prison environment. Within a week the study was abandoned, as ordinary college students were transformed into either brutal, sadistic guards or emotionally broken prisoners. By illuminating the psychological causes behind such disturbing metamorphoses, Zimbardo enables us to better understand a variety of harrowing phenomena, from corporate malfeasance to organized genocide to how once upstanding American soldiers came to abuse and torture Iraqi detainees in Abu Ghraib. He replaces the long-held notion of the “bad apple” with that of the “bad barrel”—the idea that the social setting and the system contaminate the individual, rather than the other way around. This is a book that dares to hold a mirror up to mankind, showing us that we might not be who we think we are. While forcing us to reexamine what we are capable of doing when caught up in the crucible of behavioral dynamics, though, Zimbardo also offers hope. We are capable of resisting evil, he argues, and can even teach ourselves to act heroically. Like Hannah Arendt’s Eichmann in Jerusalem and Steven Pinker’s The Blank Slate, The Lucifer Effect is a shocking, engrossing study that will change the way we view human behavior. Praise for The Lucifer Effect “The Lucifer Effect will change forever the way you think about why we behave the way we do—and, in particular, about the human potential for evil. This is a disturbing book, but one that has never been more necessary.”—Malcolm Gladwell “An important book . . . All politicians and social commentators . . . should read this.”—The Times (London) “Powerful . . . an extraordinarily valuable addition to the literature of the psychology of violence or ‘evil.’”—The American Prospect “Penetrating . . . Combining a dense but readable and often engrossing exposition of social psychology research with an impassioned moral seriousness, Zimbardo challenges readers to look beyond glib denunciations of evil-doers and ponder our collective responsibility for the world’s ills.”—Publishers Weekly “A sprawling discussion . . . Zimbardo couples a thorough narrative of the Stanford Prison Experiment with an analysis of the social dynamics of the Abu Ghraib prison in Iraq.”—Booklist “Zimbardo bottled evil in a laboratory. The lessons he learned show us our dark nature but also fill us with hope if we heed their counsel. The Lucifer Effect reads like a novel.”—Anthony Pratkanis, Ph.D., professor emeritus of psychology, University of California",9780812974447.0
The Long Haul (Diary of a Wimpy Kid #9),Jeff Kinney,Abrams,2014-11-04,"A family road trip is supposed to be a lot of fun . . . unless, of course, you’re the Heffleys. The journey starts off full of promise, then quickly takes several wrong turns. Gas station bathrooms, crazed seagulls, a fender bender, and a runaway pig—not exactly Greg Heffley’s idea of a good time. But even the worst road trip can turn into an adventure—and this is one the Heffleys won’t soon forget.",9781613126929.0
The Loney,Andrew Michael Hurley,Hachette UK,2015-03-12,"THE SUNDAY TIMES TOP 10 BESTSELLER. WINNER OF THE 2015 COSTA FIRST NOVEL AWARD. THE BRITISH BOOK AWARDS BOOK OF THE YEAR 2016. A brilliantly unsettling and atmospheric debut full of unnerving horror - 'The Loney is not just good, it's great. It's an amazing piece of fiction' Stephen King Two brothers. One mute, the other his lifelong protector. Year after year, their family visits the same sacred shrine on a desolate strip of coastline known as the Loney, in desperate hope of a cure. In the long hours of waiting, the boys are left alone. And they cannot resist the causeway revealed with every turn of the treacherous tide, the old house they glimpse at its end . . . Many years on, Hanny is a grown man no longer in need of his brother's care. But then the child's body is found. And the Loney always gives up its secrets, in the end. 'This is a novel of the unsaid, the implied, the barely grasped or understood, crammed with dark holes and blurry spaces that your imagination feels compelled to fill' Observer 'A masterful excursion into terror' The Sunday Times",9781473619845.0
The Literature Book (Big Ideas Simply Explained),DK,Penguin,2015-03-02,"Learn about how the world of government and power works in The Politics Book. Part of the fascinating Big Ideas series, this book tackles tricky topics and themes in a simple and easy to follow format. Learn about Politics in this overview guide to the subject, great for novices looking to find out more and experts wishing to refresh their knowledge alike! The Politics Book brings a fresh and vibrant take on the topic through eye-catching graphics and diagrams to immerse yourself in. This captivating book will broaden your understanding of Politics, with: - More than 100 groundbreaking ideas in the history of political thought - Packed with facts, charts, timelines and graphs to help explain core concepts - A visual approach to big subjects with striking illustrations and graphics throughout - Easy to follow text makes topics accessible for people at any level of understanding The Politics Book is a captivating introduction to the world's greatest thinkers and their political big ideas that continue to shape our lives today, aimed at adults with an interest in the subject and students wanting to gain more of an overview. Delve into the development of long-running themes, like attitudes to democracy and violence, developed by thinkers from Confucius in ancient China to Mahatma Gandhi in 20th-century India, all through exciting text and bold graphics. Your Politics Questions, Simply Explained This engaging overview explores the big political ideas such as capitalism, communism, and fascism, exploring their beginnings and social contexts - and the political thinkers who have made significant contributions. If you thought it was difficult to learn about governing bodies and affairs, The Politics Book presents key information in a clear layout. Learn about the ideas of ancient and medieval philosophers and statesmen, as well as the key personalities of the 16th to the 21st centuries that have shaped political thinking, policy, and statecraft. The Big Ideas Series With millions of copies sold worldwide, The Politics Book is part of the award-winning Big Ideas series from DK. The series uses striking graphics along with engaging writing, making big topics easy to understand.",9781465441072.0
The Last Mile (Amos Decker #2),David Baldacci,Grand Central Publishing,2016-04-19,"When a convicted killer is saved by another man's confession, Amos Decker, now an FBI special task force detective, must find the truth in this ""utterly absorbing"" #1 New York Times bestseller (Associated Press). Convicted murderer Melvin Mars is counting down the last hours before his execution--for the violent killing of his parents twenty years earlier--when he's granted an unexpected reprieve. Another man has confessed to the crime. Amos Decker, newly hired on an FBI special task force, takes an interest in Mars's case after discovering the striking similarities to his own life: Both men were talented football players with promising careers cut short by tragedy. Both men's families were brutally murdered. And in both cases, another suspect came forward, years after the killing, to confess to the crime. A suspect who may or may not have been telling the truth. The confession has the potential to make Melvin Mars--guilty or not--a free man. Who wants Mars out of prison? And why now? But when a member of Decker's team disappears, it becomes clear that something much larger--and more sinister--than just one convicted criminal's life hangs in the balance. Decker will need all of his extraordinary brainpower to stop an innocent man from being executed.",9781455586486.0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Broadway Paperbacks,2017,"Now an HBO(R) Film starring Oprah Winfrey and Rose Byrne. Her name was Henrietta Lacks, but scientists know her as HeLa. She was a poor Southern tobacco farmer who worked the same land as her slave ancestors, yet her cells--taken without her knowledge--became one of the most important tools in medicine. The first ""immortal"" human cells grown in culture, they are still alive today, though she has been dead for more than sixty years. If you could pile all HeLa cells ever grown onto a scale, they'd weigh more than 50 million metric tons--as much as a hundred Empire State Buildings. HeLa cells were vital for developing the polio vaccine; uncovered secrets of cancer, viruses, and the atom bomb's effects; helped lead to important advances like in vitro fertilization, cloning, and gene mapping; and have been bought and sold by the billions. Yet Henrietta Lacks remains virtually unknown, buried in an unmarked grave. Now Rebecca Skloot takes us on an extraordinary journey, from the ""colored"" ward of Johns Hopkins Hospital in the 1950s to stark white laboratories with freezers full of HeLa cells; from Henrietta's small, dying hometown of Clover, Virginia--a land of wooden slave quarters, faith healings, and voodoo--to East Baltimore today, where her children and grandchildren live and struggle with the legacy of her cells. Henrietta's family did not learn of her ""immortality"" until more than twenty years after her death, when scientists investigating HeLa began using her husband and children in research without informed consent. And though the cells had launched a multimillion-dollar industry that sells human biological materials, her family never saw any of the profits. As Rebecca Skloot so brilliantly shows, the story of the Lacks family--past and present--is inextricably connected to the dark history of experimentation on African Americans, the birth of bioethics, and the legal battles over whether we control the stuff we are made of. Over the decade it took to uncover this story, Rebecca became enmeshed in the lives of the Lacks family--especially Henrietta's daughter Deborah, who was devastated to learn about her mother's cells. She was consumed with questions: Had scientists cloned her mother? Did it hurt her when researchers infected her cells with viruses and shot them into space? What happened to her sister, Elsie, who died in a mental institution at the age of fifteen? And if her mother was so important to medicine, why couldn't her children afford health insurance? Intimate in feeling, astonishing in scope, and impossible to put down, The Immortal Life of Henrietta Lacks captures the beauty and drama of scientific discovery, as well as its human consequences.",9780804190107.0
The Hidden Oracle (The Trials of Apollo #1),Rick Riordan,Disney Electronic Content,2016-05-03,"How do you punish an immortal? By making him human. After angering his father Zeus, the god Apollo is cast down from Olympus. Weak and disoriented, he lands in New York City as a regular teenage boy. Now, without his godly powers, the four-thousand-year-old deity must learn to survive in the modern world until he can somehow find a way to regain Zeus's favor. But Apollo has many enemies—gods, monsters, and mortals who would love to see the former Olympian permanently destroyed. Apollo needs help, and he can think of only one place to go . . . an enclave of modern demigods known as Camp Half-Blood.",9781484736678.0
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Ruby Roth,Andrews McMeel Publishing,2016-04-05,"Experts tell us the best way to teach kids healthy eating habits is to involve them in the process. This irresistible cookbook presents 60 appealing recipes kids will beg to make themselves, in fun and charming illustrations they will love. Bursting with color, humor, cute animal characters, and cool facts (Did you know your brain actually shrinks when you’re dehydrated? Drink water, quick!), Help Yourself empowers children to take charge of their own nutrition — for now and for life! Recipes include: fun-to-munch hand-held snacks like Life Boats bright fruit-flavored drinks like Tickled Pink the always-popular things on toast like Leprechaun Tracks salads they will actually eat like Tiger Stripes cozy small meals like Tomato Tornado and sweets like chocolatey Disappearing Dots, because everybody likes candy! Excerpt from the Intro: Since the day you were born, someone has been making you food and serving you meals (that’s the life!). But wait a minute...what’s that on the end of your arm? Why, it’s a hand! And it turns out you need little more than your own two hands and a few ingredients to help yourself to healthy foods...and help the world, while you’re at it! Because from the tip of your nose to the tip of an iceberg, the food we eat affects our bodies, our environment, and even strangers on the other side of the planet. It's amazing but true.",9781449479077.0
The Guilty (Will Robie #4),David Baldacci,Macmillan,2015-11-01,"A heart-racing thriller from the no. 1 international bestselling author BOOK 4 IN THE WILL ROBIE SERIES ""Baldacci is a gifted storyteller and he knows how to keep the pages turning."" Associated Press The small, remote Bayou town hasn't changed and its residents remember Robie as a wild sports star and girl magnet. He left a lot of hearts broken, and a lot of people angry. Will and his father, Dan, are estranged, and his mother left years ago. When he visits Dan in jail, he finds that time hasn't healed old wounds. There's too much bad blood between the men, and although Will feels no good will come of staying around, he is persuaded to confront his demons by fellow agent Jessica Reel. THE WILL ROBIE SERIES Book 1: The Innocent Book 2: The Hit Book 3: The Target Book 4: The Guilty",9781743547496.0
The First Hostage (J.B. Collins #2),Joel C. Rosenberg,NavPress,2015-12-29,"Book 2 in the bestselling 3-book international political thriller series that has sold over 475,000 copies! “One of the most entertaining and intriguing authors of international political thrillers in the country. . . . His novels are un-put-downable!” —Steve Forbes, editor-in-chief, Forbes magazine The president of the United States is missing. Three years before Clinton and Patterson, another New York Times bestselling author of thirteen international thrillers, Joel C. Rosenberg, posed this chilling scenario: What if the Islamic State captured the most valuable hostage in history? Award-winning journalist J. B. Collins, reporting from the scene of a devastating attack by ISIS terrorists in Amman, Jordan, puts the entire world on high alert—the U.S. president is missing and presumed captured. With Israeli and Palestinian leaders critically injured and Jordan’s king fighting for his life, the allies are reeling and hopes for the peace process are dashed. As the U.S. government faces a constitutional crisis and Jordan battles for its very existence, Collins must do his best to keep the world informed while working to convince the FBI that his stories are not responsible for the terror attack on the Jordanian capital. And ISIS still has chemical weapons. Struggling to clear his name, Collins works frantically with the Secret Service to locate and rescue the leader of the free world before ISIS’s threats become a catastrophic reality.",9781496412058.0
The Dovekeepers,Alice Hoffman,Simon and Schuster,2011-10-04,"An ambitious and mesmerizing novel from the bestselling author of Rules of Magic. The Dovekeepers is “striking….Hoffman grounds her expansive, intricately woven, and deepest new novel in biblical history, with a devotion and seriousness of purpose” (Entertainment Weekly). Nearly two thousand years ago, nine hundred Jews held out for months against armies of Romans on Masada, a mountain in the Judean desert. According to the ancient historian Josephus, two women and five children survived. Based on this tragic and iconic event, Hoffman’s novel is a spellbinding tale of four extraordinarily bold, resourceful, and sensuous women, each of whom has come to Masada by a different path. Yael’s mother died in childbirth, and her father, an expert assassin, never forgave her for that death. Revka, a village baker’s wife, watched the murder of her daughter by Roman soldiers; she brings to Masada her young grandsons, rendered mute by what they have witnessed. Aziza is a warrior’s daughter, raised as a boy, a fearless rider and expert marksman who finds passion with a fellow soldier. Shirah, born in Alexandria, is wise in the ways of ancient magic and medicine, a woman with uncanny insight and power. The lives of these four complex and fiercely independent women intersect in the desperate days of the siege. All are dovekeepers, and all are also keeping secrets—about who they are, where they come from, who fathered them, and whom they love.",9781451617498.0
The Darkest Lie,Gena Showalter,HQN Books,2016-07-18,"Though they carry an eternal curse, the Lords of the Underworld are irresistibly seductive—and unimaginably powerful… Don't miss a single book in this stunning paranormal series from New York Times bestselling author Gena Showalter! Forced to his knees in agony whenever he speaks the truth, Gideon can recognize any lie—until he captures Scarlet, a demon-possessed immortal who claims to be his long-lost wife. He doesn't remember the beautiful female, much less wedding—or bedding—her. But he wants to…almost as much as he wants her. But Scarlet is keeper of Nightmares, too dangerous to roam free. A future with her might mean ultimate ruin. Especially as Gideon's enemies draw closer—and the truth threatens to destroy all he's come to love…. Book 6 of Lords of the Underworld. Originally published in 2010.",9781460399620.0
The Bane Chronicles (The Bane Chronicles #1-11),"Cassandra Clare, Sarah Rees Brennan",N/A,2015-11-03,"Originally released one-by-one as e-only short stories by Cassandra Clare, Maureen Johnson, and Sarah Rees Brennan, this compilation presents all ten together in print for the first time and includes a never-before-seen eleventh tale, as well as new",9781484472002.0
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,Joshua Hammer,Simon and Schuster,2016-04-19,Describes how a group of Timbuktu librarians enacted a daring plan to smuggle the city's great collection of rare Islamic manuscripts away from the threat of destruction at the hands of Al Qaeda militants to the safety of southern Mali.,9781476777405.0
The 14th Colony (Cotton Malone #11),Raymond Khoury,Penguin,2006-01-19,"The first thrilling novel in Raymond Khoury’s New York Times bestselling Templar series. In 1291, a young Templar knight flees the fallen holy land in a hail of fire and flashing sword, setting out to sea with a mysterious chest entrusted to him by the Order's dying grand master. The ship vanishes without a trace. In present day Manhattan, four masked horsemen dressed as Templar Knights stage a bloody raid on the Metropolitan Museum of Art during an exhibit of Vatican treasures. Emerging with a strange geared device, they disappear into the night. The investigation that follows draws archaeologist Tess Chaykin and FBI agent Sean Reilly into the dark, hidden history of the crusading knights—and into a deadly game of cat and mouse with ruthless killers—as they race across three continents to recover the lost secret of the Templars.",9781101158555.0
That Darkness (Gardiner and Renner #1),Lisa Black,Kensington Books,2016-04-26,"The “taut and haunting” first thriller in the Gardiner and Renner series from the New York Times bestselling author of Every Kind of Wicked (Jeff Lindsay, creator of the Dexter series). As a forensic investigator for the Cleveland Police Department, Maggie Gardiner has seen her share of Jane Does. The latest is an unidentified female in her early teens, discovered in a local cemetery. More shocking than the girl’s injuries—for Maggie at least—is the fact that no one has reported her missing. She and the detectives assigned to the case (including her cop ex-husband) are determined to follow every lead, run down every scrap of evidence. But the monster they seek is watching every move, closer to them than they could possibly imagine. Jack Renner is a killer. He doesn’t murder because he enjoys it, or because he believes himself omnipotent, or for any reason other than to make the world a safer place. When he follows the trail of this Jane Doe to a locked room in a small apartment where eighteen teenaged girls are anything but safe, he knows something must be done. But his pursuit of their captor takes an unexpected turn. Maggie Gardiner finds another body waiting for her in the autopsy room—and a host of questions that will challenge everything she believes about justice, morality, and the true nature of evil . . . “An absolute must read.”—Suspense Magazine “Black skillfully portrays the stark realities of homicide cases.”—Library Journal “Intriguing forensic details help drive the plot to its satisfying conclusion.”—Publishers Weekly “The surprising ending is sure to keep readers coming back for more.”—Booklist",9781420101898.0
Tastes Like Fear (DI Marnie Rome #3),Sarah Hilary,N/A,2016-04,"Sarah Hilary won the 2015 Theakston's Crime Novel of the Year with her debut, the 2014 Richard and Judy pick. She followed up with NO OTHER DARKNESS, proclaimed as 'riveting' by Lisa Gardner, 'utterly gripping' by Eva Dolan and 'truly mesmerising' by David Mark. Now D.I. Marnie Rome returns in her third novel. You'll never be out of Harm's way The young girl who causes the fatal car crash disappears from the scene. A runaway who doesn't want to be found, she only wants to go home. To the one man who understands her. Gives her shelter. Just as he gives shelter to the other lost girls who live in his house. He's the head of her new family. He's Harm. DI Marnie Rome has faced many dangerous criminals but she has never come up against a man like Harm. She thinks that she knows families, their secrets and their fault lines. But as she begins investigating the girl's disappearance nothing can prepare her for what she's about to face. Because when Harm's family is threatened, everything tastes like fear ...",9781472236838.0
Take Me with You,Nina G. Jones,Createspace Independent Publishing Platform,2016-10-18,"I watch. I study. I prowl. I hunt. I always go in with a plan. A set of rules for myself. I don't take unnecessary risks. That's how I've been able to evade capture all these years. But there's something about this girl that is different than the others. When I finally meet her, the rules become a blur. And I break the most important one of all--I take her with me. ----- It's just my imagination--that feeling of being watched. That those icy eyes-- a vivid turquoise with a distinct golden fleck--aren't watching me. It's just stress. I am the person everyone relies on. Maybe that's why I haven't been feeling so content with my life lately. Why I dream those eyes belong to someone who can tear me away from all of my responsibilities. But these are just shameful fantasies, never meant to breach reality. Then one night, the dream comes true, only it's a horrific nightmare. Now, I only have one task: survival. 124k words. Trigger warning: If you need one, this is really not the book for you.",9781539534730.0
Swell: A Year of Waves,Evan Slater,Chronicle Books,2012-05-09,"Wave watchers around the world know that no two waves are the same. Yet each and every wave that rises, peaks, and crashes onto the beach is generated by a much larger force originating thousands of miles away. Surf journalist team Evan Slater and Peter Taras capture the essence of waves and the swells that produce them in this breathtaking collection of wave photography. Slater characterizes four distinct swells from different corners of the globe and traces their journeys throughout the year from storm to seashore. His reflective, informative essays amplify these powerful images of hundreds of waves frozen in time, beautiful, simple, universal, yet wholly unique—and the best thing to watch on the planet.",9781452105932.0
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Gene Luen Yang,DC Comics,2016-04-12,"A new era for the Man of Steel begins here-crafted by National Book Award nominee Gene Luen Yang (AMERICAN BORN CHINESE) and legendary artists John Romita Jr. (KICK-ASS, THE AMAZING SPIDER-MAN) and Klaus Janson (BATMAN: THE DARK KNIGHT RETURNS).Superman is going through some changes. First, there’s his new “solar flare” power, which releases tremendous amounts of energy but leaves him functionally human-fragile, vulnerable, prone to hangovers-for 24 hours.But an even bigger change is coming. A new company called Hordr has sprung up, and its business is secrets. If you have one that you want to keep hidden, Hordr can control you-and no one has a bigger secret than Clark Kent. Now, Hordr is threatening to expose Clark’s alter ego unless he does everything they command. Will Superman play into the hands of blackmailers to keep his loved ones out of danger? And if the truth that Superman has been hiding is exposed, will it set him free-or ruin his life?Collects issues #40-44 and the 8-page Superman story from DIVERGENCE: FCBD SPECIAL EDITION #1.",9781401269425.0
Still Life with Bread Crumbs,Anna Quindlen,Random House Trade Paperbacks,2014-10-28,"NEW YORK TIMES BESTSELLER A superb love story from Anna Quindlen, the #1 New York Times bestselling author of Rise and Shine, Blessings, and A Short Guide to a Happy Life Still Life with Bread Crumbs begins with an imagined gunshot and ends with a new tin roof. Between the two is a wry and knowing portrait of Rebecca Winter, a photographer whose work made her an unlikely heroine for many women. Her career is now descendent, her bank balance shaky, and she has fled the city for the middle of nowhere. There she discovers, in a tree stand with a roofer named Jim Bates, that what she sees through a camera lens is not all there is to life. Brilliantly written, powerfully observed, Still Life with Bread Crumbs is a deeply moving and often very funny story of unexpected love, and a stunningly crafted journey into the life of a woman, her heart, her mind, her days, as she discovers that life is a story with many levels, a story that is longer and more exciting than she ever imagined. Look for special features inside. Join the Random House Reader’s Circle for author chats and more. “There comes a moment in every novelist’s career when she . . . ventures into new territory, breaking free into a marriage of tone and style, of plot and characterization, that’s utterly her own. Anna Quindlen’s marvelous romantic comedy of manners is just such a book. . . . Taken as a whole, Quindlen’s writings represent a generous and moving interrogation of women’s experience across the lines of class and race. [Still Life with Bread Crumbs] proves all the more moving because of its light, sophisticated humor. Quindlen’s least overtly political novel, it packs perhaps the most serious punch. . . . Quindlen has delivered a novel that will have staying power all its own.”—The New York Times Book Review “[A] wise tale about second chances, starting over, and going after what is most important in life.”—Minneapolis Star Tribune “Quindlen’s astute observations . . . are the sorts of details every writer and reader lives for.”—Chicago Tribune “[Anna] Quindlen’s seventh novel offers the literary equivalent of comfort food. . . . She still has her finger firmly planted on the pulse of her generation.”—NPR “Enchanting . . . [The protagonist’s] photographs are celebrated for turning the ‘minutiae of women’s lives into unforgettable images,’ and Quindlen does the same here with her enveloping, sure-handed storytelling.”—People “Charming . . . a hot cup of tea of a story, smooth and comforting about the vulnerabilities of growing older . . . a pleasure.”—USA Today “With spare, elegant prose, [Quindlen] crafts a poignant glimpse into the inner life of an aging woman who discovers that reality contains much more color than her own celebrated black-and-white images.”—Library Journal “Quindlen has always excelled at capturing telling details in a story, and she does so again in this quiet, powerful novel, showing the charged emotions that teem beneath the surface of daily life.”—Publishers Weekly “Quindlen presents instantly recognizable characters who may be appealingly warm and nonthreatening, but that only serves to drive home her potent message that it’s never too late to embrace life’s second chances.”—Booklist “Profound . . . engaging.”—Kirkus Reviews",9780812976892.0
Steve Jobs,Walter Isaacson,Simon and Schuster,2011,"Draws on more than forty interviews with Steve Jobs, as well as interviews with family members, friends, competitors, and colleagues to offer a look at the co-founder and leading creative force behind the Apple computer company.",9781451648546.0
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,"Richard Evershed, Nicola Temple",Bloomsbury Publishing,2016-02-25,"Horsemeat in burgers was hard to swallow, but there are far more sinister culinary crimes afoot... Chicken eggs that haven't come from chickens, melamine in infant's milk in China, nut shells in spices – these are just some examples of the food fraud that has occurred in recent years. As our urban lifestyle takes us further and further away from our food sources, there are increasing opportunities for dishonesty, duplicity and profit-making short-cuts. Food adulteration, motivated by money, is an issue that has spanned the globe throughout human history. Whether it's a matter of making a good quality oil stretch a bit further by adding a little extra 'something' or labelling a food falsely to appeal to current consumer trends – it's all food fraud, and it costs the food industry billions of dollars each year. The price to consumers may be even higher, with some paying for these crimes with their health and, in some cases, their lives. Sorting the Beef from the Bull is a collection of food fraud tales from around the world. It explains the role of science in uncovering some of the century's biggest food scams, and explores the arms race between food forensics and fraudsters as new methods of detection spur more creative and sophisticated means of committing the crimes. This book equips us with the knowledge of what is possible in the world of food fraud and shines a light on the shady areas of our food supply system where these criminals lurk.",9781472911346.0
Someone Like You (The Harrisons #2),NovelCat,NovelCat,2022-11-10,"When I am on the operation table, I am still in love with my husband Callen, not knowing he is the one who asks the doctor to induce my baby. He says I can only keep this child by signing his divorce agreement. But after I sigh it, he tells me the operation is already finished. I spend one year recovering from my failed marriage. But I've never imagined I will meet my ex-husband again, and the mistress, now his wife. They insult me as a divorced woman who only deserves to die alone at home. However, at that time, a mysterious man appears and claiming I am his woman. Not only does he protects me from the annoying ex, but he also knows everything about me and offers me help at any time. I think I've met my Mr.Right, only to find he only regards me as a plaything...",N/A
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Go Ikeyamada,VIZ Media LLC,2015-06-02,"But Mego can’t rely on just her book smarts in Mitsuru’s all-boys, delinquents’ paradise of a high school. And Mitsuru finds life as a high school girl to be much more complicated than he expected! -- VIZ Media",9781421584560.0
